INVENTORY RECEIPT BY SUBJECT REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0725
TTRAN,PUB,RECEIPT DATE,ISBN,TITLE,WAREHOUSE,QTY RECEIVED,RECEIVING CHARGES,SUBJECT
107476,57395,07-28-25,9781958325377,INTO THE DEEP BLUE,1,5264,0.00,
107477,57395,07-28-25,9781958325353,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,1,2112,0.00,
107478,57395,07-28-25,9781958325346,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,1,2100,0.00,
107491,57395,07-28-25,9781958325391,I SAID NO: A KID-TO-KID GUIDE TO KEEPING PRIVATE PARTS PRIVATE,1,5280,0.00,
107492,57395,07-28-25,9781958325452,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,1,2128,0.00,
107493,57395,07-28-25,9781958325421,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),1,2128,0.00,
107494,57395,07-28-25,9781958325445,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,1,2100,0.00,
 
SUBJECT TOTALS,,,,,,21112,0.00,
 
 
TOTALS,,,,,,21112,0.00
 
