INVENTORY RECEIPT BY SUBJECT REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0724
TTRAN,PUB,RECEIPT DATE,ISBN,TITLE,WAREHOUSE,QTY RECEIVED,RECEIVING CHARGES,SUBJECT
104270,57395,07-19-24,9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),1,3840,0.00,
104284,57395,07-22-24,9781958325230,DOGS NEXT DOOR,1,5168,0.00,
104285,57395,07-22-24,9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),1,6528,0.00,
104286,57395,07-22-24,9781958325209,TRACTOR SQUAD,1,5160,35.00,
104287,57395,07-22-24,9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,1,7236,35.00,
104288,57395,07-22-24,9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,1,7236,0.00,
104289,57395,07-22-24,9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,1,5168,0.00,
104289,57395,07-22-24,9781958325223,RAFA AND THE WRONG LEGS,1,5112,0.00,
 
SUBJECT TOTALS,,,,,,45448,70.00,
 
 
TOTALS,,,,,,45448,70.00
 
